file,null_util_fill,n_cases,n_executions,n_decision_rows,n_choice_sets,n_transitions_fitted,n_significant,t_util_s,t_dml_s,t_forest_s,t_backdoor_s,,,,,,,,,,,,,,,
BPI Challenge 2017 - Offer log.xes.gz-dfg,mean,42995,237018,108033,4,9,0,15.54043077,2.355,152.058,347.399,,,,,,,,,,,,,,,
BPI_Challenge_2013_closed_problems.xes.gz-dfg,mean,1487,8102,8102,6,21,1,0.391634152,2.862,52.695,388.333,,,,,,,,,,,,,,,
BPI_Challenge_2013_incidents.xes.gz-dfg,mean,7554,71833,69942,9,37,0,4.056298343,59.751,1616.47,9851.306,,,,,,,,,,,,,,,
BPI_Challenge_2013_open_problems.xes.gz-dfg,mean,819,2994,2539,4,17,3,0.142805577,0.559,15.514,46.012,,,,,,,,,,,,,,,
bpic12-a.xes.gz-dfg,mean,13087,74027,30582,4,12,0,2.100510546,0.475,33.377,66.085,,,,,,,,,,,,,,,
bpic18 Parcel document.xes.gz-dfg,mean,14750,146255,131505,6,21,1,8.202888076,3.565,239.168,628.151,,,,,,,,,,,,,,,
BPI Challenge 2017 - Offer log.xes.gz-flw,mean,42995,473688,236844,1,8,0,50.22231456,21.593,2415.151,3255.874,,,,,,,,,,,,,,,
BPI_Challenge_2013_closed_problems.xes.gz-flw,mean,1487,16294,8147,1,7,0,0.275146388,2.74,85.084,472.781,,,,,,,,,,,,,,,
BPI_Challenge_2013_incidents.xes.gz-flw,mean,7554,146174,73087,1,13,0,5.137710109,180.843,7145.949,33695.816,,,,,,,,,,,,,,,
BPI_Challenge_2013_open_problems.xes.gz-flw,mean,819,6340,3170,1,5,0,0.081572861,0.311,13.919,41.341,,,,,,,,,,,,,,,
bpic12-a.xes.gz-flw,mean,13087,147872,73936,1,10,0,3.375600405,3.392,314.011,486.805,,,,,,,,,,,,,,,
bpic18 Parcel document.xes.gz-flw,mean,14750,295426,147713,1,10,0,10.69412937,8.314,998.14,1434.483,,,,,,,,,,,,,,,
BPI Challenge 2017 - Offer log.xes.gz-im,mean,42995,257970,128985,3,5,0,20.58218018,1.883,119.039,324.184,,,,,,,,,,,,,,,
BPI_Challenge_2013_closed_problems.xes.gz-im,mean,1487,16382,16315,10,10,1,0.769343626,0.887,14.978,117.875,,,,,,,,,,,,,,,
BPI_Challenge_2013_incidents.xes.gz-im,mean,7554,138114,130559,83,77,2,9.114163935,45.561,794.687,6630.425,,,,,,,,,,,,,,,
BPI_Challenge_2013_open_problems.xes.gz-im,mean,819,4702,4702,2,5,0,0.209536218,0.271,9.985,33.528,,,,,,,,,,,,,,,
bpic12-a.xes.gz-im,mean,13087,96101,54594,7,11,2,2.959147098,0.444,28.124,75.378,,,,,,,,,,,,,,,
bpic18 Parcel document.xes.gz-im,mean,14750,317244,260453,14,6,0,19.65601789,1.769,113.438,305.38,,,,,,,,,,,,,,,
BPI Challenge 2017 - Offer log.xes.gz-imf,mean,42995,257970,85990,2,5,0,9.507,1.86,132.965,323.641,,,,,,,,,,,,,,,
BPI_Challenge_2013_closed_problems.xes.gz-imf,mean,1487,10969,9441,6,8,0,0.185,0.596,11.304,97.892,,,,,,,,,,,,,,,
BPI_Challenge_2013_incidents.xes.gz-imf,mean,7554,238219,230656,40,47,1,7.357534667,48.754,1351.464,7355.25,,,,,,,,,,,,,,,
BPI_Challenge_2013_open_problems.xes.gz-imf,mean,819,4765,3858,4,4,0,0.062,0.248,4.478,13.445,,,,,,,,,,,,,,,
bpic12-a.xes.gz-imf,mean,13087,96101,41507,6,11,2,1.499,0.407,24.458,54.484,,,,,,,,,,,,,,,
bpic18 Parcel document.xes.gz-imf,mean,14750,273361,243861,8,6,0,8.862,2.656,151.565,395.783,,,,,,,,,,,,0.006,0.012,0.012,4.025